日期,台灣水泥股份有限公司蘇澳廠-P101 #3旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P101 #3旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P102 #3冷卻機-不透光率(10%)-超標,台灣水泥股份有限公司蘇澳廠-P202 #3旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P202 #3旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P301 #6旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P301 #6旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P302 #6冷卻機-不透光率(10%)-超標,信大水泥股份有限公司南聖湖廠-P201 #2旋窯-不透光率(20%)-超標,信大水泥股份有限公司南聖湖廠-P201 #2旋窯-氮氧化物(450ppm)-超標,信大水泥股份有限公司南聖湖廠-P203 #2冷卻機-不透光率(10%)-超標,信大水泥股份有限公司南聖湖廠-P301 #3旋窯-不透光率(20%)-超標,信大水泥股份有限公司南聖湖廠-P301 #3旋窯-氮氧化物(450ppm)-超標,信大水泥股份有限公司南聖湖廠-P304 #3冷卻機-不透光率(10%)-超標,幸福水泥股份有限公司東澳廠-P002 #2旋窯-不透光率(20%)-超標,幸福水泥股份有限公司東澳廠-P002 #2旋窯-氮氧化物(450ppm)-超標,幸福水泥股份有限公司東澳廠-P004 #2冷卻機-不透光率(10%)-超標,臺灣化學纖維股份有限公司龍德廠-P105 LT2鍋爐-不透光率(20%)-超標,臺灣化學纖維股份有限公司龍德廠-P105 LT2鍋爐-二氧化硫(20ppm)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-不透光率(20%)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-二氧化硫(20ppm)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-氮氧化物(50ppm)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P002 旋窯-不透光率(20%)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P002 旋窯-氮氧化物(450ppm)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P007 冷卻機-不透光率(10%)-超標,羅東鋼鐵股份有限公司煉鋼廠-P001 電弧爐-不透光率(10%)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-不透光率(20%)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-氮氧化物(95.5ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-一氧化碳(72.7ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-氯化氫(27.3ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-不透光率(20%)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-氮氧化物(95.5ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-一氧化碳(72.7ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-氯化氫(27.3ppm)-超標
20150101,0/0,1/1,0/0,3/3,1/1,10/10,0/0,16/15,1/0,0/0,2/0,23/21,3/3,4/2,2/1,0/0,1/0,0/0,2/0,0/0,0/0,0/0,7/0,0/0,3/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150102,0/0,4/4,0/0,1/1,3/3,1/1,0/0,0/0,1/0,0/0,2/0,24/6,1/1,14/12,4/2,0/0,9/6,0/0,2/0,0/0,0/0,0/0,11/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150103,0/0,3/3,0/0,12/12,2/2,0/0,0/0,0/0,1/0,0/0,2/0,5/5,2/1,8/8,3/2,0/0,4/2,0/0,2/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150104,2/2,0/0,1/1,0/0,0/0,4/3,0/0,0/0,1/0,0/0,2/0,6/6,0/0,12/8,5/4,0/0,2/1,0/0,2/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150105,2/2,1/1,2/2,0/0,1/1,8/8,0/0,0/0,1/0,0/0,14/0,5/1,0/0,1/0,4/3,0/0,1/0,0/0,2/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150106,0/0,0/0,0/0,3/3,0/0,21/21,0/0,0/0,1/0,0/0,1/0,1/1,1/1,3/3,6/5,0/0,1/0,1/1,1/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150107,0/0,0/0,0/0,12/12,0/0,21/20,0/0,0/0,1/0,0/0,1/0,1/1,0/0,0/0,21/20,0/0,1/0,0/0,0/0,0/0,0/0,0/0,13/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150108,2/2,0/0,0/0,10/10,0/0,18/18,0/0,5/5,1/0,0/0,1/0,27/18,1/1,7/6,27/23,0/0,5/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150109,0/0,0/0,0/0,0/0,0/0,31/31,0/0,0/0,1/0,0/0,2/0,33/0,0/0,2/0,18/17,0/0,5/4,0/0,0/0,0/0,0/0,0/0,1/0,0/0,5/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150110,1/1,1/1,0/0,3/3,1/1,14/14,0/0,0/0,1/0,0/0,1/0,1/0,2/2,1/1,1/1,0/0,1/0,0/0,0/0,0/0,0/0,0/0,5/4,1/1,2/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150111,3/3,0/0,0/0,2/2,0/0,5/5,0/0,0/0,1/0,0/0,1/0,5/4,2/2,8/8,1/0,0/0,5/3,0/0,0/0,0/0,0/0,0/0,7/7,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
