日期,台灣水泥股份有限公司蘇澳廠-P101 #3旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P101 #3旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P102 #3冷卻機-不透光率(10%)-超標,台灣水泥股份有限公司蘇澳廠-P202 #3旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P202 #3旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P301 #6旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P301 #6旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P302 #6冷卻機-不透光率(10%)-超標,信大水泥股份有限公司南聖湖廠-P201 #2旋窯-不透光率(20%)-超標,信大水泥股份有限公司南聖湖廠-P201 #2旋窯-氮氧化物(450ppm)-超標,信大水泥股份有限公司南聖湖廠-P203 #2冷卻機-不透光率(10%)-超標,信大水泥股份有限公司南聖湖廠-P301 #3旋窯-不透光率(20%)-超標,信大水泥股份有限公司南聖湖廠-P301 #3旋窯-氮氧化物(450ppm)-超標,信大水泥股份有限公司南聖湖廠-P304 #3冷卻機-不透光率(10%)-超標,幸福水泥股份有限公司東澳廠-P002 #2旋窯-不透光率(20%)-超標,幸福水泥股份有限公司東澳廠-P002 #2旋窯-氮氧化物(450ppm)-超標,幸福水泥股份有限公司東澳廠-P004 #2冷卻機-不透光率(10%)-超標,臺灣化學纖維股份有限公司龍德廠-P105 LT2鍋爐-不透光率(20%)-超標,臺灣化學纖維股份有限公司龍德廠-P105 LT2鍋爐-二氧化硫(20ppm)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-不透光率(20%)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-二氧化硫(20ppm)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-氮氧化物(50ppm)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P002 旋窯-不透光率(20%)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P002 旋窯-氮氧化物(450ppm)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P007 冷卻機-不透光率(10%)-超標,羅東鋼鐵股份有限公司煉鋼廠-P001 電弧爐-不透光率(10%)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-不透光率(20%)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-氮氧化物(95.5ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-一氧化碳(72.7ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-氯化氫(27.3ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-不透光率(20%)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-氮氧化物(95.5ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-一氧化碳(72.7ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-氯化氫(27.3ppm)-超標
20120112,0/0,0/0,0/0,0/0,0/0,23/22,3/3,0/0,0/0,0/0,0/0,0/0,0/0,1/1,4/4,0/0,6/6,0/0,0/0,0/0,1/0,0/0,0/0,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0
20120113,4/4,4/4,0/0,0/0,8/8,12/12,0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,18/17,0/0,17/16,0/0,0/0,0/0,1/0,0/0,17/17,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0
20120114,0/0,0/0,0/0,0/0,0/0,8/8,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,8/8,0/0,31/31,0/0,0/0,0/0,1/0,0/0,23/23,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120115,0/0,0/0,0/0,0/0,0/0,14/14,0/0,0/0,0/0,0/0,0/0,5/5,0/0,3/3,17/7,0/0,31/31,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120116,0/0,0/0,0/0,0/0,0/0,28/28,0/0,2/2,0/0,0/0,0/0,11/4,0/0,1/1,16/15,0/0,34/32,0/0,0/0,0/0,1/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120117,0/0,0/0,0/0,0/0,1/1,2/1,0/0,0/0,0/0,0/0,0/0,27/0,0/0,0/0,4/4,0/0,32/32,0/0,0/0,0/0,1/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120118,12/12,1/1,0/0,17/17,4/4,26/26,0/0,5/5,0/0,0/0,0/0,1/0,0/0,0/0,11/11,0/0,29/29,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0
20120119,9/9,0/0,0/0,5/5,0/0,16/16,0/0,3/3,0/0,0/0,0/0,0/0,0/0,0/0,2/2,0/0,20/19,0/0,0/0,0/0,1/0,0/0,10/10,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120120,1/1,3/3,0/0,0/0,4/4,14/14,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,3/3,0/0,29/28,0/0,0/0,0/0,1/0,0/0,0/0,0/0,1/1,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0
20120121,0/0,0/0,0/0,0/0,1/1,16/16,0/0,7/7,0/0,0/0,0/0,0/0,0/0,0/0,5/5,0/0,35/35,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20120122,3/3,0/0,0/0,0/0,3/3,28/28,0/0,18/18,0/0,0/0,0/0,0/0,0/0,0/0,5/5,0/0,35/35,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
